ZIP,BKCLASS,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
48744,NM,20080331,72817,82041,MICHIGAN,8773.0,MAYVILLE STATE BANK,MAYVILLE,6104 FULTON,99991231,12899,18850415,73268,12899_20080331
56308,N,20080331,426976,609960,MINNESOTA,49655.0,BREMER BANK NATIONAL ASSN,ALEXANDRIA,720 BROADWAY,20141001,12915,19190601,560305,12915_20080331
56401,N,20080331,232807,371132,MINNESOTA,29999.0,BREMER BANK NATIONAL ASSN,BRAINERD,321 S. 7TH ST.,20141001,12917,18890916,341133,12917_20080331
56071,NM,20080331,91345,128176,MINNESOTA,10480.0,STATE BANK OF NEW PRAGUE,NEW PRAGUE,201 CENTRAL AVE. N.,20171202,12921,18831101,117696,12921_20080331
55075,N,20080331,1778923,2494252,MINNESOTA,263922.0,BREMER BANK NATIONAL ASSN,SOUTH ST. PAUL,633 S. CONCORD ST.,99991231,12923,19321119,2230330,12923_20080331
14843,NM,20080331,281778,329805,NEW YORK,26830.0,STEUBEN TRUST CO,HORNELL,ONE STEUBEN SQ.,20200612,12936,19020830,302976,12936_20080331
13037,NM,20080331,48712,53867,NEW YORK,3502.0,STATE BANK OF CHITTENANGO,CHITTENANGO,519 GENESEE ST.,20151204,12940,19230223,50365,12940_20080331
10940,SM,20080331,298419,481486,NEW YORK,77711.0,ORANGE COUNTY TRUST CO,MIDDLETOWN,75 NORTH ST.,99991231,12944,18920502,403775,12944_20080331
12149,NM,20080331,100513,113817,NEW YORK,12320.0,BANK OF RICHMONDVILLE,RICHMONDVILLE,5 E. MAIN ST.,99991231,12956,18931208,101497,12956_20080331
14755,NM,20080331,138094,154552,NEW YORK,13893.0,CATTARAUGUS COUNTY BANK,LITTLE VALLEY,116-20 MAIN ST.,99991231,12959,19020101,140659,12959_20080331
45830,NM,20080331,417060,572996,OHIO,57200.0,UNION BANK CO,COLUMBUS GROVE,100 S. HIGH ST.,99991231,12969,19041121,515796,12969_20080331
43344,SM,20080331,196843,219922,OHIO,19924.0,RICHWOOD BANKING CO,RICHWOOD,28 N. FRANKLIN ST.,99991231,12978,18670701,199998,12978_20080331
43516,SM,20080331,39646,48599,OHIO,8675.0,CORN CITY STATE BANK,DESHLER,201 W. MAIN ST.,99991231,12980,19111011,39924,12980_20080331
44870,SM,20080331,852250,1128113,OHIO,156973.0,CITIZENS BANKING CO,SANDUSKY,100 E. WATER ST.,99991231,12982,18840301,971140,12982_20080331
15736,NM,20080331,137569,161581,PENNSYLVANIA,15697.0,ELDERTON STATE BANK,ELDERTON,143 MAIN ST.,99991231,12985,19191001,145884,12985_20080331
75119,NM,20080331,85391,105535,TEXAS,9400.0,ENNIS STATE BANK,ENNIS,815 W. ENNIS AVE.,99991231,13000,19330101,96135,13000_20080331
79735,NM,20080331,104461,114034,TEXAS,8867.0,PECOS COUNTY STATE BANK,FORT STOCKTON,500 N. MAIN ST.,99991231,13006,19280511,105167,13006_20080331
24465,NM,20080331,90002,101076,VIRGINIA,10474.0,FIRST&CITIZENS BANK,MONTEREY,195  W. MAIN STRRET,20161001,13011,19290901,90602,13011_20080331
24605,N,20080331,1359182,2045941,VIRGINIA,203100.0,FIRST COMMUNITY BANK NA,BLUEFIELD,29 COLLEGE DR.,99991231,13012,19200107,1842841,13012_20080331
25880,NM,20080331,91329,110375,WEST VIRGINIA,9747.0,BANK OF MOUNT HOPE INC,MOUNT HOPE,602 MAIN ST.,20191001,13017,19140814,100628,13017_20080331
26292,NM,20080331,36983,43673,WEST VIRGINIA,6518.0,MINERS&MERCHANTS BANK,THOMAS,172 E. AVE,99991231,13018,19020610,37155,13018_20080331
26582,NM,20080331,150962,174057,WEST VIRGINIA,12533.0,FIRST EXCHANGE BANK,MANNINGTON,11 W. MAIN ST.,99991231,13020,19320627,161523,13020_20080331
54819,NM,20080331,35741,39185,WISCONSIN,3150.0,DAIRYLAND STATE BANK,BRUCE,719 N. MAIN ST.,20180901,13022,19340101,36035,13022_20080331
53719,NM,20080331,312389,404096,WISCONSIN,43217.0,WISCONSIN COMMUNITY BANK,MADISON,8240 MINERAL POINT RD.,99991231,13023,19111101,360879,13023_20080331
53565,NM,20080331,178669,197715,WISCONSIN,13707.0,FARMERS SAVINGS BANK,MINERAL POINT,305 DOTY ST.,99991231,13025,19170101,184008,13025_20080331
53202,NM,20080331,1072003,1343817,WISCONSIN,219371.0,LINCOLN STATE BANK,MILWAUKEE,1000 N. WATER ST.,20080906,13028,19190101,1124446,13028_20080331
53204,NM,20080331,68074,81555,WISCONSIN,9269.0,MITCHELL BANK,MILWAUKEE,1039 W. MITCHELL ST.,20201231,13029,19070101,72286,13029_20080331
54760,NM,20080331,48211,55349,WISCONSIN,4806.0,PIGEON FALLS STATE BANK,PIGEON FALLS,40214 S EKERN AVE.,99991231,13030,19200406,50543,13030_20080331
54665,NM,20080331,111190,131403,WISCONSIN,13579.0,CITIZENS FIRST BANK,VIROQUA,101 S. MAIN ST.,99991231,13032,19120101,117824,13032_20080331
54981,SM,20080331,134743,174412,WISCONSIN,23205.0,FARMERS STB OF WAUPACA,WAUPACA,112 W. FULTON ST.,99991231,13033,19110111,151207,13033_20080331
54660,NM,20080331,157628,204058,WISCONSIN,17723.0,FARMERS&MERCHANTS BANK,TOMAH,1001 SUPERIOR AVE.,20190701,13046,19110101,186335,13046_20080331
54636,NM,20080331,33491,40168,WISCONSIN,5672.0,PARK BANK,HOLMEN,1200 MAIN ST.,99991231,13054,19090101,34496,13054_20080331
53149,NM,20080331,484556,548794,WISCONSIN,62938.0,CITIZENS BANK OF MUKWONAGO,MUKWONAGO,301 N. ROCHESTER,99991231,13055,18921212,485856,13055_20080331
54014,N,20080331,38874,43231,WISCONSIN,4196.0,HIAWATHA NATIONAL BANK,HAGER CITY,N1555 770TH ST,99991231,13058,19170101,39035,13058_20080331
54235,SM,20080331,865666,1078889,WISCONSIN,97532.0,BAYLAKE BANK,STURGEON BAY,217 N. 4TH AVE.,20160429,13060,18760722,981357,13060_20080331
4043,SI,20080331,594551,751766,MAINE,76126.0,KENNEBUNK SAVINGS BANK,KENNEBUNK,104 MAIN ST.,99991231,13063,18710501,675640,13063_20080331
64850,SM,20080331,221900,260571,MISSOURI,22271.0,COMMUNITY BANK&TRUST,NEOSHO,100 S. WOOD ST.,99991231,13068,18840101,238300,13068_20080331
65560,NM,20080331,392307,458472,MISSOURI,46395.0,TOWN&COUNTRY BANK,SALEM,1009 E. HWY. 32/72,99991231,13071,18940101,412077,13071_20080331
7652,SB,20080331,16173173,46305431,NEW JERSEY,4303437.0,HUDSON CITY SAVINGS BANK,PARAMUS,WEST 80 CENTURY RD.,20151101,13074,18680327,42001994,13074_20080331
60102,N,20080331,116720,136978,ILLINOIS,19108.0,ALGONQUIN STB NA,ALGONQUIN,2400 HUNTINGTON DR. N.,99991231,13080,19020303,117870,13080_20080331
72801,SM,20080331,152314,206721,ARKANSAS,34923.0,SIMMONS 1ST BK RUSSELLVILLE,RUSSELLVILLE,800 N. ARKANSAS AVE.,20140809,13081,19050101,171798,13081_20080331
72927,NM,20080331,260754,301161,ARKANSAS,25301.0,FIRST WESTERN BANK,BOONEVILLE,80 W MAIN ST,99991231,13083,19100418,275860,13083_20080331
80501,NM,20080331,328969,394473,COLORADO,24441.0,FIRSTBANK OF LONGMONT,LONGMONT,1707 N. MAIN ST.,20101016,13084,19080815,370032,13084_20080331
46394,NM,20080331,117145,137562,INDIANA,10697.0,AMERICAN T&SB OF WHITING IN,WHITING,1321-119TH ST.,20100601,13099,19200819,126865,13099_20080331
46581,SM,20080331,1579766,2203388,INDIANA,177046.0,LAKE CITY BANK,WARSAW,202 E. CTR. ST.,99991231,13102,18720101,2026342,13102_20080331
47613,SM,20080331,46177,53832,INDIANA,5118.0,ELBERFELD STATE BANK,ELBERFELD,55 MAIN ST.,20210930,13104,19050725,48714,13104_20080331
47362,NM,20080331,196597,224844,INDIANA,25712.0,CITIZENS STB NEW CASTLE,NEW CASTLE,1238 BROAD ST.,99991231,13107,18730703,199132,13107_20080331
47274,NM,20080331,265290,354728,INDIANA,34827.0,JACKSON COUNTY BANK,SEYMOUR,125 S. CHESTNUT ST.,99991231,13109,19000101,319901,13109_20080331
46504,SM,20080331,52174,78443,INDIANA,24655.0,FIRST STB BOURBON INDIANA,BOURBON,MAIN &CTR. ST.,20150201,13110,18840620,53788,13110_20080331
46112,SM,20080331,118602,139781,INDIANA,17974.0,HENDRICKS COUNTY B&T CO,BROWNSBURG,1 E. MAIN ST.,99991231,13111,19080101,121807,13111_20080331
47460,NM,20080331,123221,173500,INDIANA,16092.0,OWEN COUNTY STATE BANK,SPENCER,201 W. MORGAN ST.,99991231,13112,19340101,157408,13112_20080331
47601,NM,20080331,85347,115062,INDIANA,23223.0,PEOPLES TRUST&SAVINGS BANK,BOONVILLE,132 S. 3RD ST.,99991231,13113,18950101,91839,13113_20080331
47021,SM,20080331,185215,236410,INDIANA,19183.0,FRIENDSHIP STATE BANK,FRIENDSHIP,5908 E MAIN ST.,99991231,13130,19121026,217227,13130_20080331
46060,NM,20080331,201815,233443,INDIANA,30168.0,COMMUNITY BANK,NOBLESVILLE,830 LOGAN ST.,20141108,13147,19130101,203275,13147_20080331
52001,SM,20080331,664688,854269,IOWA,73603.0,AMERICAN TRUST&SAVINGS BANK,DUBUQUE,9TH &MAIN ST.,20190501,13150,19050101,780666,13150_20080331
67068,NM,20080331,134764,181019,KANSAS,17237.0,KANZA BANK,KINGMAN,151 N. MAIN ST.,99991231,13157,19050101,163782,13157_20080331
42726,NM,20080331,97985,112039,KENTUCKY,11222.0,BANK OF CLARKSON,CLARKSON,101 E. MAIN ST.,99991231,13167,19040101,100817,13167_20080331
42754,SM,20080331,70027,100009,KENTUCKY,15237.0,LEITCHFIELD DEPOSIT B&T CO,LEITCHFIELD,76 PUBLIC SQ.,20160521,13168,18970101,84772,13168_20080331
